flight_number,pilot_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,arrival_country,duration_hours,departure_time,date,isLate
IB7269,Reeva,Adolfo Suárez Madrid–Barajas,Ceerigaabo,Somalia,Charles de Gaulle,Plottier,Argentina,16.42,2:36 AM,3/4/2026,false
LH3192,Mickey,Frankfurt Airport,Kota Kinabalu,Malaysia,Charles de Gaulle,Laxou,France,12.56,11:52 AM,7/15/2025,true
SQ2983,Carlie,Changi,Hualingang,China,Suvarnabhumi,Fentange,Luxembourg,13.19,3:40 AM,9/24/2025,true
UA7050,Gianina,Los Angeles International,Pomahuaca,Peru,San Francisco International,Lalībela,Ethiopia,1.67,12:49 AM,7/9/2025,false
SQ8281,Kelsey,Changi,Weixin,China,Amsterdam Airport Schiphol,Anulid,Philippines,3.11,12:05 PM,7/16/2025,true
NZ6301,Liza,Auckland Airport,Jiuxian,China,Sydney Airport,Chaoyang,China,22.28,6:50 AM,2/8/2026,true
SQ6821,Warden,Changi,Budayuan,China,Beijing Capital International,Plomárion,Greece,21.99,11:20 AM,8/15/2025,true
AC7018,Ian,Toronto Pearson,Paris 14,France,John F. Kennedy International,Şabbūrah,Syria,2.79,7:53 AM,8/23/2025,false
AF9595,Ailsun,Charles de Gaulle,Open Stage,Maldives,Frankfurt Airport,Jiangchi,China,1.6,6:08 AM,12/11/2025,true
AM2984,Brew,Benito Juárez International,Kapotnya,Russia,Seattle-Tacoma International,Nagu,Finland,18.26,1:23 PM,7/16/2025,false
QR8903,Bartolemo,Hamad International,Darvi,Mongolia,Bole International,Almaguer,Colombia,10.62,7:02 AM,9/4/2025,true
NZ4746,Archy,Auckland Airport,Puerto Quellón,Chile,Sydney Airport,Kovdor,Russia,2.97,12:25 PM,10/29/2025,false
NZ7734,Krystyna,Auckland Airport,Xinglong,China,Sydney Airport,Xinji,China,18.13,12:06 AM,9/16/2025,true
UA2781,Margaretha,Los Angeles International,San Miguel Dueñas,Guatemala,San Francisco International,Itaberaí,Brazil,10.63,8:04 AM,4/7/2026,true
EK2645,Sayers,Dubai International,Fanzhen,China,Chhatrapati Shivaji International,Estela,Portugal,7.85,4:03 PM,2/28/2026,false
AZ7903,Ermin,Leonardo da Vinci International,Palopat,Indonesia,Charles de Gaulle,Lueng Putu,Indonesia,19.48,1:25 PM,5/4/2025,false
LA7812,Edwin,São Paulo/Guarulhos International,Bieligutai,China,Seattle-Tacoma International,Alor Setar,Malaysia,4.08,5:03 AM,6/25/2025,false
AA2277,Garrek,John F. Kennedy International,Tejen,Turkmenistan,Hartsfield-Jackson Atlanta,Selizharovo,Russia,17.88,10:49 PM,9/10/2025,true
QR4953,Idell,Hamad International,Kumanovo,Macedonia,Bole International,Grzybowa Góra,Poland,2.53,5:03 AM,10/7/2025,false
NZ9663,Sarge,Auckland Airport,Gedera,Israel,Sydney Airport,Karangharjo,Indonesia,16.16,2:08 PM,4/9/2026,true
KL3748,Alix,Amsterdam Airport Schiphol,Paka,Indonesia,San Francisco International,Prozor,Bosnia and Herzegovina,10.5,12:05 AM,3/2/2026,false
TG8972,Esdras,Suvarnabhumi,Millerovo,Russia,Changi,Novovorontsovka,Ukraine,8.19,9:00 PM,9/26/2025,true
AF3520,Nissy,Charles de Gaulle,Qiaochong,China,Frankfurt Airport,Sidomulyo,Indonesia,23.18,11:23 AM,6/1/2025,false
SA8899,Anderson,O.R. Tambo International,Täby,Sweden,Charles de Gaulle,Panaytayon,Philippines,4.01,7:32 AM,3/12/2026,true
AM2354,Gladi,Benito Juárez International,Jajce,Bosnia and Herzegovina,O'Hare International,Yanmenguan,China,15.85,4:52 AM,8/3/2025,true
AF1519,Caroljean,Charles de Gaulle,Daying,China,Cairo International,Jinbo,China,13.61,10:45 PM,3/9/2026,true
AI8841,Malinda,Indira Gandhi International,Mętków,Poland,Chhatrapati Shivaji International,Dūrā al Qar‘,Palestinian Territory,21.01,12:19 PM,10/30/2025,false
WN2811,Rorke,Los Angeles International,Schellenberg,Liechtenstein,San Francisco International,Dongyu,China,12.2,2:45 PM,10/3/2025,false
IB8511,Corabel,Adolfo Suárez Madrid–Barajas,Hellevoetsluis,Netherlands,Charles de Gaulle,Ystad,Sweden,8.56,9:14 PM,9/12/2025,false
LH3233,Serena,Frankfurt Airport,Presidente Epitácio,Brazil,Charles de Gaulle,Jisegumen,China,13.6,2:33 AM,12/14/2025,true
KE5668,Juliet,Incheon International,Paringin,Indonesia,Haneda,Victoria,Grenada,15.91,7:16 AM,6/22/2025,true
QR4865,Rock,Hamad International,Pinheiro,Portugal,Bole International,Banatsko Karađorđevo,Serbia,7.01,1:37 AM,8/26/2025,true
AA8399,Tailor,John F. Kennedy International,Shitan,China,Hartsfield-Jackson Atlanta,Haligue,Philippines,5.1,7:41 AM,1/12/2026,true
ET8204,Selma,Bole International,Daliuhang,China,Hamad International,Aimin,China,1.61,3:13 PM,8/26/2025,true
AV7529,Giacopo,El Dorado International,Aţ Ţafīlah,Jordan,O'Hare International,Casal de Cambra,Portugal,14.13,4:12 AM,9/21/2025,false
KL7528,Walt,Amsterdam Airport Schiphol,Sydney,Australia,Charles de Gaulle,Offa,Nigeria,7.17,5:38 AM,10/23/2025,false
AF5854,Nate,Charles de Gaulle,Oof,Indonesia,Frankfurt Airport,Santo Tomas,Philippines,16.1,8:13 AM,2/13/2026,false
SA4231,Weylin,O.R. Tambo International,Guadalupe,Mexico,Zurich Airport,Hisings Kärra,Sweden,5.46,5:42 AM,6/22/2025,true
AA2486,Giovanna,John F. Kennedy International,Les Cèdres,Canada,Hartsfield-Jackson Atlanta,Agadez,Niger,13.14,2:15 PM,5/21/2025,true
QR7176,Patin,Hamad International,Kishkenekol’,Kazakhstan,Bole International,Unión de Reyes,Cuba,12.36,8:38 PM,9/5/2025,false
SA3726,Owen,O.R. Tambo International,Guider,Cameroon,Charles de Gaulle,Gracias,Honduras,20.22,9:30 PM,4/15/2026,true
KE7799,Heidie,Incheon International,Sępólno Krajeńskie,Poland,Denver International,Heqing,China,9.4,5:23 AM,7/11/2025,true
QF5679,Theodoric,Sydney Airport,Popovice,Czech Republic,Melbourne Airport,Rivne,Ukraine,7.33,5:15 AM,12/27/2025,false
